fingerprint,record_count,source_type,source_id,attachment_id,usage_type,source_filename,classification
6ed5f6b4bb13f36e,2,page,629,4732,page_image,2024/05/FF211E21-8763-4C6A-8D2B-816F1323091F.jpeg,SHARED
42fbdc97b10bf1a5,2,product,2376,2380,product_featured,2024/08/Ben-Nye-Clown-White-cw2.jpg,SHARED
42fbdc97b10bf1a5,2,variant,2378,2380,variant_image,2024/08/Ben-Nye-Clown-White-cw2.jpg,SHARED
4170bb44ad4c21b8,2,product,2321,2386,product_featured,2024/08/Anua-Niacinamide-10-x-TXA-4-30ml.webp,SHARED
4170bb44ad4c21b8,2,page,629,2386,page_image,2024/08/Anua-Niacinamide-10-x-TXA-4-30ml.webp,SHARED
1057125d964d2681,3,product,2367,2389,product_featured,2024/08/Absolute-lip-gloss-clear.png,SHARED
1057125d964d2681,3,page,9,2389,page_image,2024/08/Absolute-lip-gloss-clear.png,SHARED
1057125d964d2681,3,page,629,2389,page_image,2024/08/Absolute-lip-gloss-clear.png,SHARED
acaed108df754f2a,2,product,2322,7787,product_featured,2024/08/s-l1600.webp,SHARED
acaed108df754f2a,2,product,2322,7787,product_featured,2024/08/s-l1600.webp,SHARED
8bbe243dcb1a46ab,2,product,2338,2730,product_featured,2024/08/Embryolisse.jpg,SHARED
8bbe243dcb1a46ab,2,product,15865,2730,product_featured,2024/08/Embryolisse.jpg,SHARED
19858685ec161902,2,product,1699,13933,product_gallery,2024/05/WhatsApp-Image-2025-08-26-at-22.50.56.jpeg,SHARED
19858685ec161902,2,variant,13936,13933,variant_image,2024/05/WhatsApp-Image-2025-08-26-at-22.50.56.jpeg,SHARED
2b3e096d94e945e4,2,product,3608,3609,product_featured,2024/09/frudia-pomegranate-honey-3in1-lip-balm-10ml-743.jpg,SHARED
2b3e096d94e945e4,2,product,3608,3609,product_featured,2024/09/frudia-pomegranate-honey-3in1-lip-balm-10ml-743.jpg,SHARED
f1ed50d575429e14,2,product,3610,3611,product_featured,2024/09/frudia-my-orchard-hand-cream-30g-pineapple-893.jpg,SHARED
f1ed50d575429e14,2,product,3610,3611,product_featured,2024/09/frudia-my-orchard-hand-cream-30g-pineapple-893.jpg,SHARED
97b22f24b0493041,2,product,3614,3615,product_featured,2024/09/frudia-my-orchard-hand-cream-30g-dragon-fruit-503.jpg,SHARED
97b22f24b0493041,2,product,3614,3615,product_featured,2024/09/frudia-my-orchard-hand-cream-30g-dragon-fruit-503.jpg,SHARED
592a82d928697d2c,2,product,3619,3621,product_featured,2024/09/WhatsApp-Image-2024-09-12-at-20.05.26.jpeg,SHARED
592a82d928697d2c,2,product,3619,3621,product_featured,2024/09/WhatsApp-Image-2024-09-12-at-20.05.26.jpeg,SHARED
d8384ae5ea66302f,2,product,3629,3628,product_featured,2024/09/cosrx-acne-pimple-master-patch-52.jpg,SHARED
d8384ae5ea66302f,2,product,3629,3628,product_featured,2024/09/cosrx-acne-pimple-master-patch-52.jpg,SHARED
30810ceabca55e92,2,product,3840,3841,product_featured,2024/09/NATR_TheEnergizer_bonebkgd_front_700x.webp,SHARED
30810ceabca55e92,2,product,3840,3841,product_featured,2024/09/NATR_TheEnergizer_bonebkgd_front_700x.webp,SHARED
f3e54b38e47b6ad6,2,product,3843,3844,product_featured,2024/09/Naturium_Mandelic_Acid_Front_CapOn_Bone_1_700x.webp,SHARED
f3e54b38e47b6ad6,2,product,3843,3844,product_featured,2024/09/Naturium_Mandelic_Acid_Front_CapOn_Bone_1_700x.webp,SHARED
752f1065dbed8f73,2,product,3845,3846,product_featured,2024/09/Naturium_Azaleic_Acid_Front_CapOn_Bone_1_700x.webp,SHARED
752f1065dbed8f73,2,product,3845,3846,product_featured,2024/09/Naturium_Azaleic_Acid_Front_CapOn_Bone_1_700x.webp,SHARED
2c866df5aeae3445,2,product,3848,3849,product_featured,2024/09/anua-cleansing-oil.jpg,SHARED
2c866df5aeae3445,2,product,3848,3849,product_featured,2024/09/anua-cleansing-oil.jpg,SHARED
dbab77f79753ddf0,2,product,3851,3852,product_featured,2024/09/41zTfqwVqJL._SL1000_.jpg,SHARED
